username;balances
dxGaEAii;11888,77354
MBlfbBGI;67823,10157
lAhWlEWZ;18651,41930
nuZweYtO;22073,49725
gbdSwiuY;34897,80118
RZNneNuP;83296,88493
YsscHXkp;31699,12935
RkLzkDun;2087,14426
HlQlnEYI;30605,25461
RqkZOFYe;16881,29709
NjCSRAfD;41163,75251
pHniJMQY;14874,93806
dOGIMzKR;10032,48748
HfMDmNLp;55683,48563
xPLKzCBl;79731,45769
AtwIxZHo;35479,71683
dxGaEAii;11888,43459
MBlfbBGI;67823,44341
lAhWlEWZ;18651,87110
nuZweYtO;22073,63273
gbdSwiuY;34897,4756
RZNneNuP;83296,77370
YsscHXkp;31699,87890
RkLzkDun;2087,18131
HlQlnEYI;30605,93898
RqkZOFYe;16881,86544
NjCSRAfD;41163,13023
pHniJMQY;14874,38973
dOGIMzKR;10032,60657
HfMDmNLp;55683,7326
xPLKzCBl;79731,19664
AtwIxZHo;35479,85626
dxGaEAii;11888,34393
MBlfbBGI;67823,95904
lAhWlEWZ;18651,82460
nuZweYtO;22073,65781
gbdSwiuY;34897,31020
RZNneNuP;83296,22040
YsscHXkp;31699,57532
RkLzkDun;2087,52693
HlQlnEYI;30605,28448
RqkZOFYe;16881,67916
NjCSRAfD;41163,57107
pHniJMQY;14874,86939
dOGIMzKR;10032,72101
HfMDmNLp;55683,37185
xPLKzCBl;79731,39835
AtwIxZHo;35479,1845
dxGaEAii;11888,25348
MBlfbBGI;67823,42376
lAhWlEWZ;18651,96819
nuZweYtO;22073,24321
gbdSwiuY;34897,2863
RZNneNuP;83296,29060
YsscHXkp;31699,24786
RkLzkDun;2087,94599
HlQlnEYI;30605,60087
RqkZOFYe;16881,4302
NjCSRAfD;41163,83588
pHniJMQY;14874,41062
dOGIMzKR;10032,66185
HfMDmNLp;55683,62176
xPLKzCBl;79731,72208
AtwIxZHo;35479,82131
dxGaEAii;11888,58261
MBlfbBGI;67823,79603
lAhWlEWZ;18651,4520
nuZweYtO;22073,32855
gbdSwiuY;34897,72982
RZNneNuP;83296,76602
YsscHXkp;31699,24681
RkLzkDun;2087,12010
HlQlnEYI;30605,44123
RqkZOFYe;16881,98330
NjCSRAfD;41163,9475
pHniJMQY;14874,16970
dOGIMzKR;10032,52495
HfMDmNLp;55683,87664
xPLKzCBl;79731,1581
AtwIxZHo;35479,14510
dxGaEAii;11888,32530
MBlfbBGI;67823,73495
lAhWlEWZ;18651,52366
nuZweYtO;22073,92059
gbdSwiuY;34897,78310
RZNneNuP;83296,18909
YsscHXkp;31699,30554
RkLzkDun;2087,73375
HlQlnEYI;30605,3344
RqkZOFYe;16881,97816
NjCSRAfD;41163,76886
pHniJMQY;14874,70269
dOGIMzKR;10032,63894
HfMDmNLp;55683,27378
xPLKzCBl;79731,3208
AtwIxZHo;35479,97861
dxGaEAii;11888,68802
MBlfbBGI;67823,81732
lAhWlEWZ;18651,20770
nuZweYtO;22073,46650
gbdSwiuY;34897,82410
RZNneNuP;83296,41149
YsscHXkp;31699,54430
RkLzkDun;2087,35567
HlQlnEYI;30605,90821
RqkZOFYe;16881,45148
NjCSRAfD;41163,41565
pHniJMQY;14874,75160
dOGIMzKR;10032,72239
HfMDmNLp;55683,62519
xPLKzCBl;79731,39724
AtwIxZHo;35479,20099
dxGaEAii;11888,85347
MBlfbBGI;67823,44876
lAhWlEWZ;18651,38485
nuZweYtO;22073,31963
gbdSwiuY;34897,4483
RZNneNuP;83296,1425
YsscHXkp;31699,84185
RkLzkDun;2087,29075
HlQlnEYI;30605,81135
RqkZOFYe;16881,23391
NjCSRAfD;41163,84840
pHniJMQY;14874,42519
dOGIMzKR;10032,79272
HfMDmNLp;55683,22098
xPLKzCBl;79731,18657
AtwIxZHo;35479,12152
dxGaEAii;11888,28534
MBlfbBGI;67823,15171
lAhWlEWZ;18651,20690
nuZweYtO;22073,19049
gbdSwiuY;34897,29586
RZNneNuP;83296,99515
YsscHXkp;31699,89805
RkLzkDun;2087,69688
HlQlnEYI;30605,31846
RqkZOFYe;16881,43881
NjCSRAfD;41163,77074
pHniJMQY;14874,78108
dOGIMzKR;10032,93032
HfMDmNLp;55683,82775
xPLKzCBl;79731,63026
AtwIxZHo;35479,60259
dxGaEAii;11888,69965
MBlfbBGI;67823,15429
lAhWlEWZ;18651,52382
nuZweYtO;22073,23242
gbdSwiuY;34897,14081
RZNneNuP;83296,87232
YsscHXkp;31699,70924
RkLzkDun;2087,73468
HlQlnEYI;30605,96252
RqkZOFYe;16881,74667
NjCSRAfD;41163,86488
pHniJMQY;14874,55835
dOGIMzKR;10032,1894
HfMDmNLp;55683,67642
xPLKzCBl;79731,21095
AtwIxZHo;35479,63412
dxGaEAii;11888,62508
MBlfbBGI;67823,51042
lAhWlEWZ;18651,26659
nuZweYtO;22073,97143
gbdSwiuY;34897,98844
RZNneNuP;83296,65198
YsscHXkp;31699,96920
RkLzkDun;2087,57129
HlQlnEYI;30605,36587
RqkZOFYe;16881,2278
NjCSRAfD;41163,68914
pHniJMQY;14874,77935
dOGIMzKR;10032,36722
HfMDmNLp;55683,44127
xPLKzCBl;79731,60788
AtwIxZHo;35479,21287
dxGaEAii;11888,96270
MBlfbBGI;67823,74279
lAhWlEWZ;18651,98415
nuZweYtO;22073,40680
gbdSwiuY;34897,60152
RZNneNuP;83296,2863
YsscHXkp;31699,48974
RkLzkDun;2087,82946
HlQlnEYI;30605,10309
RqkZOFYe;16881,25138
NjCSRAfD;41163,3497
pHniJMQY;14874,35832
dOGIMzKR;10032,72884
HfMDmNLp;55683,49680
xPLKzCBl;79731,5538
AtwIxZHo;35479,28370
dxGaEAii;11888,85645
MBlfbBGI;67823,51937
lAhWlEWZ;18651,52140
nuZweYtO;22073,60277
gbdSwiuY;34897,36474
RZNneNuP;83296,98939
YsscHXkp;31699,27374
RkLzkDun;2087,66556
HlQlnEYI;30605,81919
RqkZOFYe;16881,14578
NjCSRAfD;41163,13981
pHniJMQY;14874,64041
dOGIMzKR;10032,20579
HfMDmNLp;55683,82140
xPLKzCBl;79731,97368
AtwIxZHo;35479,30396
dxGaEAii;11888,30237
MBlfbBGI;67823,42785
lAhWlEWZ;18651,2849
nuZweYtO;22073,27274
gbdSwiuY;34897,24226
RZNneNuP;83296,22554
YsscHXkp;31699,45249
RkLzkDun;2087,90258
HlQlnEYI;30605,62810
RqkZOFYe;16881,51812
NjCSRAfD;41163,96633
pHniJMQY;14874,78478
dOGIMzKR;10032,69766
HfMDmNLp;55683,41289
xPLKzCBl;79731,91870
AtwIxZHo;35479,32936
dxGaEAii;11888,80168
MBlfbBGI;67823,51461
lAhWlEWZ;18651,75257
nuZweYtO;22073,45100
gbdSwiuY;34897,43089
RZNneNuP;83296,98364
YsscHXkp;31699,4414
RkLzkDun;2087,31144
HlQlnEYI;30605,88508
RqkZOFYe;16881,57026
NjCSRAfD;41163,83284
pHniJMQY;14874,11941
dOGIMzKR;10032,18364
HfMDmNLp;55683,21444
xPLKzCBl;79731,48857
AtwIxZHo;35479,87803
dxGaEAii;11888,99139
MBlfbBGI;67823,41624
lAhWlEWZ;18651,54834
nuZweYtO;22073,58219
gbdSwiuY;34897,18595
RZNneNuP;83296,93406
YsscHXkp;31699,20527
RkLzkDun;2087,57351
HlQlnEYI;30605,46268
RqkZOFYe;16881,18340
NjCSRAfD;41163,70748
pHniJMQY;14874,72647
dOGIMzKR;10032,18463
HfMDmNLp;55683,70185
xPLKzCBl;79731,15837
AtwIxZHo;35479,61119
dxGaEAii;11888,16986
MBlfbBGI;67823,43976
lAhWlEWZ;18651,128
nuZweYtO;22073,54898
gbdSwiuY;34897,61837
RZNneNuP;83296,5402
YsscHXkp;31699,34246
RkLzkDun;2087,58845
HlQlnEYI;30605,63254
RqkZOFYe;16881,49926
NjCSRAfD;41163,99894
pHniJMQY;14874,61660
dOGIMzKR;10032,65928
